id,puzzle_path,weight_mode,include_filled_edges,algorithm,solved,solve_time_ms,decision_count,fiedler_value,trace_laplacian,created_at_utc
80,/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,1,ForwardCheckingSolver,1,0.638805,49,4860839.756455581,1214000307.9997344,2026-02-16T18:02:58.439Z
81,/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,1,AC3Solver,1,10.344897,49,4860839.756455581,1214000307.9997344,2026-02-16T18:02:58.450Z
82,/home/blake/m508/custompuzzles/Custom-0005.txt,binary,0,BacktrackingSolver,1,0.587349,181,0.0,568.0,2026-02-16T18:02:58.461Z
83,/home/blake/m508/custompuzzles/Custom-0005.txt,binary,0,ForwardCheckingSolver,1,0.646939,49,0.0,568.0,2026-02-16T18:02:58.462Z
84,/home/blake/m508/custompuzzles/Custom-0005.txt,binary,0,AC3Solver,1,8.950535,49,0.0,568.0,2026-02-16T18:02:58.471Z
85,/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,0,BacktrackingSolver,1,0.465134,181,0.0,71.55555555555556,2026-02-16T18:02:58.482Z
86,/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,0,ForwardCheckingSolver,1,0.585893,49,0.0,71.55555555555556,2026-02-16T18:02:58.482Z
87,/home/blake/m508/custompuzzles/Custom-0005.txt,overlap,0,AC3Solver,1,10.228049,49,0.0,71.55555555555556,2026-02-16T18:02:58.493Z
88,/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,0,BacktrackingSolver,1,0.479357,181,0.0,162000307.99973425,2026-02-16T18:02:58.503Z
89,/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,0,ForwardCheckingSolver,1,0.576633,49,0.0,162000307.99973425,2026-02-16T18:02:58.504Z
90,/home/blake/m508/custompuzzles/Custom-0005.txt,inv_overlap,0,AC3Solver,1,10.283299,49,0.0,162000307.99973425,2026-02-16T18:02:58.514Z
91,/home/blake/m508/custompuzzles/Custom-0006.txt,binary,1,BacktrackingSolver,1,0.47008,167,8.999999999999975,1620.0,2026-02-16T18:02:58.525Z
92,/home/blake/m508/custompuzzles/Custom-0006.txt,binary,1,ForwardCheckingSolver,1,0.54293,48,8.999999999999975,1620.0,2026-02-16T18:02:58.526Z
93,/home/blake/m508/custompuzzles/Custom-0006.txt,binary,1,AC3Solver,1,10.194509,48,8.999999999999975,1620.0,2026-02-16T18:02:58.536Z
94,/home/blake/m508/custompuzzles/Custom-0006.txt,overlap,1,BacktrackingSolver,1,0.431795,167,0.0,50.44444444444444,2026-02-16T18:02:58.554Z
