rank,prime,time_ns
71910747,1440582953,31179326
71993058,1442321533,30968442
72045284,1443419623,30963185
72128660,1445180549,32306991
72216811,1447035761,31429206
72229898,1447312753,31046476
72348787,1449818813,31073460
72774943,1458810109,30988552
73314748,1470208237,32158595
73514778,1474431587,31320828
73925962,1483105763,31411878
73929156,1483172611,31354414
73954322,1483703489,32278393
74032609,1485357883,31465584
74123941,1487280191,31302866
74405397,1493219383,32288275
74768370,1500884023,31890021
75037977,1506579241,33223967
75260351,1511288081,31542841
75382938,1513880827,31690204
75493412,1516214053,31889700
75580264,1518050671,32307631
75849875,1523746561,31917068
75916735,1525160213,32279070
76019615,1527335827,32124618
76182064,1530762137,31944391
76221782,1531607923,31931276
76402700,1535434903,31899960
76519367,1537904747,32055644
76840334,1544698541,32090440
77085435,1549880627,32258046
77683009,1562533429,32134640
77738822,1563716573,32396053
78159902,1572637379,32319429
79234985,1595404007,32497137
79251243,1595747327,32578493
79265542,1596049919,32753153
79553400,1602154843,32771417
79770873,1606758523,32458144
80128519,1614345763,32843413
80133011,1614442097,32766910
80273492,1617421231,32719630
80277673,1617510007,32778777
80390193,1619900549,32759289
80544036,1623157999,33361698
80604943,1624450297,32758809
80728986,1627083049,32768591
80811040,1628822389,32748772
80880226,1630290397,33581515
81198996,1637043491,32975036
81351568,1640282263,32991773
81546272,1644414833,33040331
81605006,1645663997,33199220
81895193,1651824991,33432411
81991010,1653863803,34216298
82211805,1658549749,33293562
82228736,1658908861,33570271
82575794,1666279427,33569708
82624330,1667309297,33372412
82625823,1667341601,33296348
82767375,1670350193,34084436
82779017,1670597297,33336994
82833780,1671759307,33373392
82839323,1671877651,33528285
82992397,1675131347,33595569
83194836,1679426729,33401415
83199119,1679517251,33306160
83549124,1686954583,33450688
83660655,1689318803,33700454
84139142,1699491929,33712704
84167399,1700092943,33517484
84448416,1706062493,33684066
84632168,1709962229,33648325
84672766,1710825167,33675065
84685622,1711099751,33754304
84689434,1711180153,33706613
84727967,1711998451,33678029
85157870,1721137169,33885171
85223906,1722538877,33828225
85281215,1723762507,33864269
85292614,1724002669,33856180
85304884,1724263841,33971896
85377351,1725809627,33813179
85410099,1726504523,35231406
85509274,1728615841,34471122
85573975,1729990177,34374209
85703521,1732751549,34442124
85728920,1733290697,33950392
86206344,1743452441,34156339
86316052,1745784143,34333396
86578290,1751366069,34153480
86604993,1751935909,34126098
86668483,1753287241,34219956
86683536,1753607087,34046166
86714365,1754265031,34246470
87139837,1763319139,34300796
87232836,1765298597,34345763
87244304,1765543729,34356778
87262860,1765937137,35525325
87277131,1766240753,34289294
87655144,1774294213,34501461
87883054,1779148849,34430068
87901370,1779538039,34316985
88105123,1783875619,34418435
88459224,1791421739,36163695
88531153,1792950449,34607176
89201723,1807235387,34784640
89588539,1815482239,35045575
89854156,1821152503,35145856
90048522,1825295977,34925090
90053471,1825400777,36622363
90223114,1829019893,34856177
90288398,1830413063,35095427
90347928,1831683793,35044543
90496271,1834845127,35047086
90697973,1839147857,35002274
90876558,1842959311,35152343
91214092,1850166403,35098216
91309299,1852195937,35056213
91853777,1863816421,35660646
91887366,1864533499,35217155
91962503,1866143287,36027541
92678260,1881426667,35395901
92797172,1883969753,36098718
92878946,1885718309,36590214
93076140,1889926013,36002679
93681462,1902855641,36015519
93719660,1903672711,36063485
93822507,1905867647,36668853
93908962,1907718859,35939725
94086025,1911501113,35590219
94623562,1923000691,36601468
