term,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_overlap_FE1,AC3Solver_overlap_FE1,BacktrackingSolver_inv_overlap_FE1,ForwardCheckingSolver_inv_overlap_FE1,AC3Solver_inv_overlap_FE1,BacktrackingSolver_binary_FE0,ForwardCheckingSolver_binary_FE0,AC3Solver_binary_FE0,BacktrackingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE0,AC3Solver_overlap_FE0,BacktrackingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE0,AC3Solver_inv_overlap_FE0,BacktrackingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_expected_frac_FE1,AC3Solver_dir_expected_frac_FE1,BacktrackingSolver_dir_target_frac_FE1,ForwardCheckingSolver_dir_target_frac_FE1,AC3Solver_dir_target_frac_FE1,BacktrackingSolver_dir_info_FE1,ForwardCheckingSolver_dir_info_FE1,AC3Solver_dir_info_FE1,BacktrackingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE0,BacktrackingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE0,BacktrackingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE0,AC3Solver_dir_info_FE0
log(log(fiedler_value + 1) + 1):I(fiedler_value^2),0,0,0,9.605399044603363e-17,-4.70E-17,-3.79E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):I(trace_laplacian^2),0,0,0,-9.33E-21,-7.77E-21,-1.82E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):I(1/(fiedler_value + 0.001)),0,0,0,-0.116353976,-0.069056083,-0.051879468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):I(1/(trace_laplacian + 0.001)),0,0,0,35279501.856518485,20136481.007674716,5191077.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):log(log(trace_laplacian + 1) + 1),0,0,0,-1.80E-04,3.0455481688390715e-4,2.4804571422073324e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):log(trace_laplacian + 1),0,0,0,-5.14E-05,2.5466106551142295e-5,3.1503808116499926e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):fiedler_value,0,0,0,-2.85E-10,-1.14E-10,-3.74E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):trace_laplacian,0,0,0,-3.08E-12,-1.99E-12,-3.55E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):I(fiedler_value^2),0,0,0,2.222259076827659e-17,-6.95E-18,-6.79E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):I(trace_laplacian^2),0,0,0,-1.50E-21,-1.29E-21,-3.06E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
