term,AC3Solver_binary_FE0,AC3Solver_binary_FE1,AC3Solver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE1,AC3Solver_dir_info_FE0,AC3Solver_dir_info_FE1,AC3Solver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE1,AC3Solver_inv_overlap_FE0,AC3Solver_inv_overlap_FE1,AC3Solver_overlap_FE0,AC3Solver_overlap_FE1,BacktrackingSolver_binary_FE0,BacktrackingSolver_binary_FE1,BacktrackingSolver_dir_expected_frac_FE0,BacktrackingSolver_dir_expected_frac_FE1,BacktrackingSolver_dir_info_FE0,BacktrackingSolver_dir_info_FE1,BacktrackingSolver_dir_target_frac_FE0,BacktrackingSolver_dir_target_frac_FE1,BacktrackingSolver_inv_overlap_FE0,BacktrackingSolver_inv_overlap_FE1,BacktrackingSolver_overlap_FE0,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_binary_FE0,ForwardCheckingSolver_binary_FE1,ForwardCheckingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE1,ForwardCheckingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE1,ForwardCheckingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE1,ForwardCheckingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE1
log(log(trace_laplacian + 1) + 1):trace_laplacian,NA,NA,116799.48727869095,163832.80258152788,NA,NA,127135.1972997186,139511.23840985564,-6.896128743404614e-4,NA,760.5170126037424,1078.1765004678623,NA,NA,-140928.3362606232,-45910.53899398771,NA,NA,-111490.50662244085,-65517.56173090281,0.003671029885851334,NA,1526.0484852139462,394.28294943197574,NA,NA,28835.557434843322,91806.77502930493,NA,NA,63880.627808372104,-11855.877385755297,0.0027987716205512434,NA,1001.4767620771896,1196.8296952566402
log(log(trace_laplacian + 1) + 1):I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.597494976719444e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9707575572459476e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.864846420299486e-9,NA,NA
log(log(trace_laplacian + 1) + 1):I(trace_laplacian^2),1.1327024633259812,NA,NA,NA,-1.1004565699874098,-0.9636440417182165,NA,NA,1.2490399759961677e-13,NA,0.5492233159928264,0.7408304404452913,0.4303572261677691,NA,NA,NA,-5.894202841219953,-6.628883985132267,NA,NA,-6.619518524882105e-13,NA,1.118795082211398,0.34109756196182656,1.310099069976495,NA,NA,NA,-3.789035377827321,-2.481341628382271,NA,NA,-6.14475964491558e-13,NA,0.7072167346655605,0.8480460058067332
log(log(trace_laplacian + 1) + 1):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-14639177.87036995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-168110578.17252672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23127982.41932891,NA,NA
log(log(trace_laplacian + 1) + 1):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,2528556.651382489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2669614.499081675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1278644.4635710586,NA,NA,NA
log(trace_laplacian + 1):fiedler_value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(trace_laplacian + 1):trace_laplacian,NA,NA,NA,NA,NA,NA,NA,NA,3.498928808037024e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.862424688605861e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4386426670403795e-4,NA,NA,NA
log(trace_laplacian + 1):I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(trace_laplacian + 1):I(trace_laplacian^2),NA,NA,38.14728536698026,51.987592954273936,NA,NA,41.158755700108365,45.17657232021502,NA,NA,NA,NA,NA,NA,-45.19187822289153,-16.532626088856443,NA,NA,-36.552985437185775,-21.729664582511944,NA,NA,NA,NA,NA,NA,9.493774689466859,27.617516872156582,NA,NA,19.81491300244073,-3.3034987424167603,NA,NA,NA,NA
log(trace_laplacian + 1):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
log(trace_laplacian + 1):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,-533406.2525654378,NA,-503999.20883911353,-761628.2595299069,NA,NA,NA,NA,NA,NA,NA,NA,710679.390421052,NA,-953738.57478727,-64703.75309200509,NA,NA,NA,NA,NA,NA,NA,NA,-162685.9162401061,NA,-681798.9274418253,-728133.938682231
fiedler_value:trace_laplacian,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.407251336901501e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.1701564985858835e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.647737598334257e-12,NA,NA
fiedler_value:I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.547632054096808e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.1324543595866313e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.571970660182066e-18,NA,NA
fiedler_value:I(trace_laplacian^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7415702660153207e-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9474109057147e-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.4350476536515e-22,NA,NA
fiedler_value:I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fiedler_value:I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-4604115.932739126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6653912.073458527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3721570.0492694653,NA,NA
trace_laplacian:I(fiedler_value^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.4463250589321226e-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.14167032434808e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.380363494036433e-20,NA,NA
